"filename", "language", "Markdown", "JSON", "JavaScript", "HTML", "Vue", "CSS", "comment", "blank", "total"
"e:\StudentManagement\STU-front\.eslintrc.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 1, 15
"e:\StudentManagement\STU-front\README.md", "Markdown", 18, 0, 0, 0, 0, 0, 0, 6, 24
"e:\StudentManagement\STU-front\babel.config.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 1, 4
"e:\StudentManagement\STU-front\package-lock.json", "JSON", 0, 25847, 0, 0, 0, 0, 0, 1, 25848
"e:\StudentManagement\STU-front\package.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 1, 39
"e:\StudentManagement\STU-front\public\index.html", "HTML", 0, 0, 0, 121, 0, 0, 0, 15, 136
"e:\StudentManagement\STU-front\src\App.vue", "Vue", 0, 0, 0, 0, 60, 0, 0, 8, 68
"e:\StudentManagement\STU-front\src\api\admin\admin.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 6, 12
"e:\StudentManagement\STU-front\src\api\admin\class.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 9, 28
"e:\StudentManagement\STU-front\src\api\admin\course.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 9, 28
"e:\StudentManagement\STU-front\src\api\admin\department.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 9, 24
"e:\StudentManagement\STU-front\src\api\admin\major.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 9, 26
"e:\StudentManagement\STU-front\src\api\admin\student.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 9, 28
"e:\StudentManagement\STU-front\src\api\admin\studentCourse.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 8, 26
"e:\StudentManagement\STU-front\src\api\admin\teacher.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 9, 26
"e:\StudentManagement\STU-front\src\api\option.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 5, 17
"e:\StudentManagement\STU-front\src\api\student\course.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 3, 7
"e:\StudentManagement\STU-front\src\api\student\courseSelect.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 5, 18
"e:\StudentManagement\STU-front\src\api\student\exam.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 2, 4
"e:\StudentManagement\STU-front\src\api\student\info.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 3, 6
"e:\StudentManagement\STU-front\src\api\student\score.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 2, 4
"e:\StudentManagement\STU-front\src\api\student\timetable.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 2, 4
"e:\StudentManagement\STU-front\src\api\teacher\course.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 2, 4
"e:\StudentManagement\STU-front\src\api\teacher\grade.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 6, 20
"e:\StudentManagement\STU-front\src\api\teacher\timetable.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 2, 4
"e:\StudentManagement\STU-front\src\api\user.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 4, 12
"e:\StudentManagement\STU-front\src\assets\css\main.css", "CSS", 0, 0, 0, 0, 0, 9, 0, 2, 11
"e:\StudentManagement\STU-front\src\common\ajax.js", "JavaScript", 0, 0, 128, 0, 0, 0, 0, 21, 149
"e:\StudentManagement\STU-front\src\common\config.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 3, 6
"e:\StudentManagement\STU-front\src\common\permission.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 4, 16
"e:\StudentManagement\STU-front\src\common\sideBarItem.js", "JavaScript", 0, 0, 139, 0, 0, 0, 0, 4, 143
"e:\StudentManagement\STU-front\src\common\userType.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 3, 8
"e:\StudentManagement\STU-front\src\components\HeadBar.vue", "Vue", 0, 0, 0, 0, 143, 0, 0, 14, 157
"e:\StudentManagement\STU-front\src\components\TimeTable.vue", "Vue", 0, 0, 0, 0, 148, 0, 0, 12, 160
"e:\StudentManagement\STU-front\src\main.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 5, 25
"e:\StudentManagement\STU-front\src\router\router.js", "JavaScript", 0, 0, 143, 0, 0, 0, 0, 5, 148
"e:\StudentManagement\STU-front\src\store\store.js", "JavaScript", 0, 0, 55, 0, 0, 0, 1, 4, 60
"e:\StudentManagement\STU-front\src\views\Container.vue", "Vue", 0, 0, 0, 0, 58, 0, 0, 5, 63
"e:\StudentManagement\STU-front\src\views\Home.vue", "Vue", 0, 0, 0, 0, 179, 0, 7, 3, 189
"e:\StudentManagement\STU-front\src\views\Login.vue", "Vue", 0, 0, 0, 0, 143, 0, 0, 12, 155
"e:\StudentManagement\STU-front\src\views\admin\AdminAdmin.vue", "Vue", 0, 0, 0, 0, 161, 0, 0, 10, 171
"e:\StudentManagement\STU-front\src\views\admin\AdminClass.vue", "Vue", 0, 0, 0, 0, 200, 0, 0, 7, 207
"e:\StudentManagement\STU-front\src\views\admin\AdminCourse.vue", "Vue", 0, 0, 0, 0, 292, 0, 0, 8, 300
"e:\StudentManagement\STU-front\src\views\admin\AdminDepartment.vue", "Vue", 0, 0, 0, 0, 147, 0, 0, 6, 153
"e:\StudentManagement\STU-front\src\views\admin\AdminMajor.vue", "Vue", 0, 0, 0, 0, 177, 0, 0, 8, 185
"e:\StudentManagement\STU-front\src\views\admin\AdminStudent.vue", "Vue", 0, 0, 0, 0, 234, 0, 0, 7, 241
"e:\StudentManagement\STU-front\src\views\admin\AdminStudentCourse.vue", "Vue", 0, 0, 0, 0, 262, 0, 0, 8, 270
"e:\StudentManagement\STU-front\src\views\admin\AdminTeacher.vue", "Vue", 0, 0, 0, 0, 186, 0, 0, 7, 193
"e:\StudentManagement\STU-front\src\views\student\StudentCourse.vue", "Vue", 0, 0, 0, 0, 62, 0, 0, 5, 67
"e:\StudentManagement\STU-front\src\views\student\StudentCourseSelect.vue", "Vue", 0, 0, 0, 0, 123, 0, 0, 6, 129
"e:\StudentManagement\STU-front\src\views\student\StudentExam.vue", "Vue", 0, 0, 0, 0, 44, 0, 0, 5, 49
"e:\StudentManagement\STU-front\src\views\student\StudentInfo.vue", "Vue", 0, 0, 0, 0, 97, 0, 0, 5, 102
"e:\StudentManagement\STU-front\src\views\student\StudentScore.vue", "Vue", 0, 0, 0, 0, 60, 0, 0, 5, 65
"e:\StudentManagement\STU-front\src\views\student\StudentTimeTable.vue", "Vue", 0, 0, 0, 0, 28, 0, 0, 5, 33
"e:\StudentManagement\STU-front\src\views\teacher\TeacherCourse.vue", "Vue", 0, 0, 0, 0, 47, 0, 0, 5, 52
